R-DRE-392499	Metabolism of proteins	945	977	7	6	5	6	6	5	7	4	4	13	973	3912	0.76086	0.4483	0.75998	0.41	767678;492328;436584;317638	cish;ankrd9;gcgb;igfbp1a	ENSDARG00000060316;ENSDARG00000028804;ENSDARG00000040907;ENSDARG00000099351		0.011876419000000001	0.004686115	1.83246E-4	0.01755822602663086	0.013497450761916503	0.019833517551284655	0.00702841015	0.002376	2.99406E-5	0.010930524623881452	0.008193055863833105	0.012262055128893199	0.0204476525	0.009470639999999999	0.00112153	0.02803925034530628	0.02256915061258577	0.031833503718665515									0.00312077;0.00625146;0.0379502;1.83246E-4	0.00194972;0.00280228;0.0233317;2.99406E-5	0.00499518;0.0139461;0.0617278;0.00112153	2	2	2	436584;317638	ENSDARG00000040907;ENSDARG00000099351	0.019066723	0.019066723	0.026705269278160405	0.0116808203	0.0116808203	0.01647683208531738	0.031424665	0.031424665	0.04285510449942282	0.0379502;1.83246E-4	0.0233317;2.99406E-5	0.0617278;0.00112153	2	767678;492328	ENSDARG00000060316;ENSDARG00000028804	0.004686115	0.004686115	0.002213732128792913	0.002376	0.002376	6.028509573684011E-4	0.009470639999999999	0.009470639999999999	0.006329256229858296	0.00312077;0.00625146	0.00194972;0.00280228	0.00499518;0.0139461	0						Hill,1(0.25);Linear,1(0.25);Poly 2,2(0.5)	1.8253875331562652	7.389856815338135	1.5685715675354004	2.34965181350708	0.34458936736504464	1.7358167171478271	-0.005330642506098245	0.02908348050609825	-0.003683503981403823	0.017740324281403822	-0.007030812838400152	0.04792611783840015	CONFLICT	0.5	0.5	0.0	
R-DRE-597592	Post-translational protein modification	729	752	6	5	4	5	5	4	6	3	3	14	749	4136	0.7425	0.49644	0.73647	0.4	767678;492328;317638	cish;ankrd9;igfbp1a	ENSDARG00000060316;ENSDARG00000028804;ENSDARG00000099351		0.0031851586666666667	0.00312077	1.83246E-4	0.003034619368676298	0.0015466186780429005	0.002498575163429648	0.0015939802	0.00194972	2.99406E-5	0.0014199927961705016	7.943215829826458E-4	0.0013041977175847382	0.0066876033333333335	0.00499518	0.00112153	0.006577660790557181	0.003431079923527107	0.0048670965631068715									0.00312077;0.00625146;1.83246E-4	0.00194972;0.00280228;2.99406E-5	0.00499518;0.0139461;0.00112153	1	2	1	317638	ENSDARG00000099351	1.83246E-4	1.83246E-4		2.99406E-5	2.99406E-5		0.00112153	0.00112153		1.83246E-4	2.99406E-5	0.00112153	2	767678;492328	ENSDARG00000060316;ENSDARG00000028804	0.004686115	0.004686115	0.002213732128792913	0.002376	0.002376	6.028509573684011E-4	0.009470639999999999	0.009470639999999999	0.006329256229858296	0.00312077;0.00625146	0.00194972;0.00280228	0.00499518;0.0139461	0						Hill,1(0.34);Poly 2,2(0.67)	1.8655150723661715	5.679746866226196	1.5685715675354004	2.34965181350708	0.4068602798151918	1.7615234851837158	-2.4883641974422733E-4	0.006619153753077561	-1.2892917308081949E-5	0.003200853317308082	-7.557205536764906E-4	0.014130927220343155	DOWN	0.3333333333333333	0.6666666666666666	0.0	
R-DRE-8957275	Post-translational protein phosphorylation	58	60	1	1	1	1	1	1	1	1	1	16	59	4826	0.98219	0.18918	0.18918	1.67	317638	igfbp1a	ENSDARG00000099351		1.83246E-4	1.83246E-4	1.83246E-4		1.83246E-4		2.99406E-5	2.99406E-5	2.99406E-5		2.99406E-5		0.00112153	0.00112153	0.00112153		0.00112153										1.83246E-4	2.99406E-5	0.00112153	1	0	1	317638	ENSDARG00000099351	1.83246E-4	1.83246E-4		2.99406E-5	2.99406E-5		0.00112153	0.00112153		1.83246E-4	2.99406E-5	0.00112153	0															0						Hill,1(1)	1.7615234851837158	1.7615234851837158	1.7615234851837158	1.7615234851837158	0.0	1.7615234851837158	1.83246E-4	1.83246E-4	2.99406E-5	2.99406E-5	0.00112153	0.00112153	UP	1.0	0.0	0.0	
R-DRE-109581	Apoptosis	58	71	1	1	1	1	1	1	1	1	1	16	70	4815	0.97555	0.21998	0.21998	1.41	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755										0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-109606	Intrinsic Pathway for Apoptosis	27	28	1	1	1	1	1	1	1	1	1	16	27	4858	0.99594	0.092935	0.092935	3.57	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755										0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-1257604	PIP3 activates AKT signaling	153	159	2	1	1	2	2	1	2	0	0	17	159	4726	0.57036	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1280218	Adaptive Immune System	322	362	6	6	4	5	5	3	6	1	1	16	361	4524	0.63916	0.72921	1.0	0.28	550386	dapp1	ENSDARG00000039535		0.0450614	0.0450614	0.0450614		0.0450614		0.0259795	0.0259795	0.0259795		0.0259795		0.0781589	0.0781589	0.0781589		0.0781589										0.0450614	0.0259795	0.0781589	0	1	0															1	550386	ENSDARG00000039535	0.0450614	0.0450614		0.0259795	0.0259795		0.0781589	0.0781589		0.0450614	0.0259795	0.0781589	0						Linear,1(1)	1.6799910068511963	1.6799910068511963	1.6799910068511963	1.6799910068511963	0.0	1.6799910068511963	0.0450614	0.0450614	0.0259795	0.0259795	0.0781589	0.0781589	DOWN	0.0	1.0	0.0	
R-DRE-162582	Signal Transduction	1257	1356	11	9	6	10	10	9	11	4	4	13	1352	3533	0.47279	0.73444	1.0	0.29	562522;555604;436584;100170660	nsl1;nox1;gcgb;gbp3	ENSDARG00000024471;ENSDARG00000087574;ENSDARG00000040907;ENSDARG00000003244		0.0235477235	0.020365375	1.42044E-4	0.026285661327807776	0.018948475275865566	0.02261430347831708	0.01340597655	0.0125631	3.41062E-5	0.01459320977140029	0.011395813929548325	0.013419013920381613	0.041625824500000005	0.03301811	5.91578E-4	0.04786617518073099	0.031663731808511515	0.03844890171631188									0.00278055;1.42044E-4;0.0379502;0.0533181	0.0017945;3.41062E-5;0.0233317;0.0284636	0.00430842;5.91578E-4;0.0617278;0.0998755	1	3	1	436584	ENSDARG00000040907	0.0379502	0.0379502		0.0233317	0.0233317		0.0617278	0.0617278		0.0379502	0.0233317	0.0617278	3	562522;555604;100170660	ENSDARG00000024471;ENSDARG00000087574;ENSDARG00000003244	0.018746898	0.00278055	0.02996859079555814	0.010097402066666665	0.0017945	0.01592992989556303	0.034925166	0.00430842	0.05627933140724851	0.00278055;1.42044E-4;0.0533181	0.0017945;3.41062E-5;0.0284636	0.00430842;5.91578E-4;0.0998755	0						Hill,1(0.25);Linear,2(0.5);Poly 2,1(0.25)	1.9623077778032882	7.910684823989868	1.7101099491119385	2.351336717605591	0.28879158281609374	1.9246190786361694	-0.0022122246012516167	0.049307671601251615	-8.953690259722834E-4	0.027707322125972284	-0.005283027177116373	0.08853467617711638	DOWN	0.25	0.75	0.0	
R-DRE-1640170	Cell Cycle	371	392	2	2	2	2	2	2	2	2	2	15	390	4495	0.85016	0.39944	0.64132	0.51	567320;562522	cenpw;nsl1	ENSDARG00000092136;ENSDARG00000024471		0.003123495	0.003123495	0.00278055	4.8499747014804336E-4	0.0029125962870135552	3.8244739739122204E-4	0.00194228	0.00194228	0.0017945	2.0899248024749598E-4	0.0018514006700633139	1.648021589073297E-4	0.005028805000000001	0.005028805000000001	0.00430842	0.0010187782371301381	0.0045857944025142795	8.033631292763536E-4									0.00346644;0.00278055	0.00209006;0.0017945	0.00574919;0.00430842	0	2	0															2	567320;562522	ENSDARG00000092136;ENSDARG00000024471	0.003123495	0.003123495	4.8499747014804336E-4	0.00194228	0.00194228	2.0899248024749598E-4	0.005028805000000001	0.005028805000000001	0.0010187782371301381	0.00346644;0.00278055	0.00209006;0.0017945	0.00574919;0.00430842	0						Poly 2,2(1)	1.764160235453499	3.5691583156585693	1.515392541885376	2.0537657737731934	0.3806873630771933	1.7845791578292847	0.0024513228000000004	0.0037956671999999996	0.0016526312000000002	0.0022319287999999996	0.003616850400000001	0.0064407596	DOWN	0.0	1.0	0.0	
R-DRE-194138	Signaling by VEGF	62	62	1	1	1	0	0	0	1	0	0	17	62	4823	0.80514	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-199418	Negative regulation of the PI3K/AKT network	67	69	2	1	1	2	2	1	2	0	0	17	69	4816	0.78554	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-199991	Membrane Trafficking	313	315	1	0	0	0	0	0	1	0	0	17	315	4570	0.32271	1.0	0.62194	0.0																																		0	0	0															0															0																							
R-DRE-212436	Generic Transcription Pathway	463	490	5	5	2	5	5	5	5	2	2	15	488	4397	0.76218	0.51833	0.68471	0.41	378866;30079	ddit4;btg2	ENSDARG00000037618;ENSDARG00000020298		0.04364205	0.04364205	0.0409535	0.003802183873118098	0.04224711405040384	0.0032503706862523187	0.025466049999999997	0.025466049999999997	0.0245184	0.0013401794823829482	0.02497436821887828	0.0011456784440783353	0.0748353	0.0748353	0.0684052	0.00909353462741526	0.07149908618604889	0.007773784586364808									0.0409535;0.0463306	0.0245184;0.0264137	0.0684052;0.0812654	0	2	0															2	378866;30079	ENSDARG00000037618;ENSDARG00000020298	0.04364205	0.04364205	0.003802183873118098	0.025466049999999997	0.025466049999999997	0.0013401794823829482	0.0748353	0.0748353	0.00909353462741526	0.0409535;0.0463306	0.0245184;0.0264137	0.0684052;0.0812654	0						Linear,2(1)	1.800184352670729	3.618232250213623	1.6295682191848755	1.9886640310287476	0.2539190836504905	1.8091161251068115	0.038372492	0.048911608	0.023608656	0.027323443999999995	0.062232303999999995	0.087438296	DOWN	0.0	1.0	0.0	
R-DRE-2262752	Cellular responses to stress	315	351	1	1	1	0	0	0	1	0	0	17	351	4534	0.28219	1.0	0.62871	0.0																																		0	0	0															0															0																							
R-DRE-3700989	Transcriptional Regulation by TP53	208	211	3	3	2	3	3	3	3	2	2	15	209	4676	0.96578	0.16454	0.16454	0.95	378866;30079	ddit4;btg2	ENSDARG00000037618;ENSDARG00000020298		0.04364205	0.04364205	0.0409535	0.003802183873118098	0.04224711405040384	0.0032503706862523187	0.025466049999999997	0.025466049999999997	0.0245184	0.0013401794823829482	0.02497436821887828	0.0011456784440783353	0.0748353	0.0748353	0.0684052	0.00909353462741526	0.07149908618604889	0.007773784586364808									0.0409535;0.0463306	0.0245184;0.0264137	0.0684052;0.0812654	0	2	0															2	378866;30079	ENSDARG00000037618;ENSDARG00000020298	0.04364205	0.04364205	0.003802183873118098	0.025466049999999997	0.025466049999999997	0.0013401794823829482	0.0748353	0.0748353	0.00909353462741526	0.0409535;0.0463306	0.0245184;0.0264137	0.0684052;0.0812654	0						Linear,2(1)	1.800184352670729	3.618232250213623	1.6295682191848755	1.9886640310287476	0.2539190836504905	1.8091161251068115	0.038372492	0.048911608	0.023608656	0.027323443999999995	0.062232303999999995	0.087438296	DOWN	0.0	1.0	0.0	
R-DRE-372790	Signaling by GPCR	311	378	1	1	1	1	1	1	1	1	1	16	377	4508	0.61848	0.74501	1.0	0.26	436584	gcgb	ENSDARG00000040907		0.0379502	0.0379502	0.0379502		0.0379502		0.0233317	0.0233317	0.0233317		0.0233317		0.0617278	0.0617278	0.0617278		0.0617278										0.0379502	0.0233317	0.0617278	1	0	1	436584	ENSDARG00000040907	0.0379502	0.0379502		0.0233317	0.0233317		0.0617278	0.0617278		0.0379502	0.0233317	0.0617278	0															0						Linear,1(1)	1.7101099491119385	1.7101099491119385	1.7101099491119385	1.7101099491119385	0.0	1.7101099491119385	0.0379502	0.0379502	0.0233317	0.0233317	0.0617278	0.0617278	UP	1.0	0.0	0.0	
R-DRE-388396	GPCR downstream signalling	297	364	1	1	1	1	1	1	1	1	1	16	363	4522	0.63656	0.73123	1.0	0.27	436584	gcgb	ENSDARG00000040907		0.0379502	0.0379502	0.0379502		0.0379502		0.0233317	0.0233317	0.0233317		0.0233317		0.0617278	0.0617278	0.0617278		0.0617278										0.0379502	0.0233317	0.0617278	1	0	1	436584	ENSDARG00000040907	0.0379502	0.0379502		0.0233317	0.0233317		0.0617278	0.0617278		0.0379502	0.0233317	0.0617278	0															0						Linear,1(1)	1.7101099491119385	1.7101099491119385	1.7101099491119385	1.7101099491119385	0.0	1.7101099491119385	0.0379502	0.0379502	0.0233317	0.0233317	0.0617278	0.0617278	UP	1.0	0.0	0.0	
R-DRE-388841	Costimulation by the CD28 family	31	34	1	1	1	1	1	0	1	0	0	17	34	4851	0.88824	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-389356	CD28 co-stimulation	22	24	1	1	1	1	1	0	1	0	0	17	24	4861	0.91982	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-389357	CD28 dependent PI3K/Akt signaling	16	18	1	1	1	1	1	0	1	0	0	17	18	4867	0.93928	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-389513	CTLA4 inhibitory signaling	16	16	1	1	1	1	1	0	1	0	0	17	16	4869	0.94585	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-4420097	VEGFA-VEGFR2 Pathway	58	58	1	1	1	0	0	0	1	0	0	17	58	4827	0.81654	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5357801	Programmed Cell Death	64	77	1	1	1	1	1	1	1	1	1	16	76	4809	0.97156	0.23631	0.23631	1.3	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755										0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-5628897	TP53 Regulates Metabolic Genes	53	53	2	2	1	2	2	2	2	1	1	16	52	4833	0.98594	0.16898	0.16898	1.89	378866	ddit4	ENSDARG00000037618		0.0409535	0.0409535	0.0409535		0.0409535		0.0245184	0.0245184	0.0245184		0.0245184		0.0684052	0.0684052	0.0684052		0.0684052										0.0409535	0.0245184	0.0684052	0	1	0															1	378866	ENSDARG00000037618	0.0409535	0.0409535		0.0245184	0.0245184		0.0684052	0.0684052		0.0409535	0.0245184	0.0684052	0						Linear,1(1)	1.9886640310287476	1.9886640310287476	1.9886640310287476	1.9886640310287476	0.0	1.9886640310287476	0.0409535	0.0409535	0.0245184	0.0245184	0.0684052	0.0684052	DOWN	0.0	1.0	0.0	
R-DRE-5653656	Vesicle-mediated transport	333	338	2	1	1	1	1	1	2	1	1	16	337	4548	0.6705	0.70377	1.0	0.3	492459	colec11	ENSDARG00000013266		0.0646492	0.0646492	0.0646492		0.0646492		0.0309132	0.0309132	0.0309132		0.030913199999999995		0.135202	0.135202	0.135202		0.135202										0.0646492	0.0309132	0.135202	1	0	1	492459	ENSDARG00000013266	0.0646492	0.0646492		0.0309132	0.0309132		0.135202	0.135202		0.0646492	0.0309132	0.135202	0															0						Linear,1(1)	1.7555389404296875	1.7555389404296875	1.7555389404296875	1.7555389404296875	0.0	1.7555389404296875	0.0646492	0.0646492	0.0309132	0.0309132	0.135202	0.135202	UP	1.0	0.0	0.0	
