Gene Ontology Analyses
GO Category: ALL
GO File Creation Date: 10/06/22
Deduplicate Gene Sets: false
Data Source: Analine_DESeq_normData
Work Source: Analine_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0045 BETA
Timestamp (Start Time): 06/26/2023 14:40.28
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 3891
Total Run Time: 4 seconds

GO/Pathway/Gene Set/Gene ID	GO Level	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMDL at 5th Percentile of Total Genes	BMDL at 10th Percentile of Total Genes	BMDU at 5th Percentile of Total Genes	BMDU at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
GO:0000054	7	ribosomal subunit export from nucleus	13	13	1	1	0	1	1	1	1	0	0	80	13	18983	0.94682	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000055	8	ribosomal large subunit export from nucleus	8	8	1	1	0	1	1	1	1	0	0	80	8	18988	0.96693	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000056	8	ribosomal small subunit export from nucleus	6	6	1	1	0	1	1	1	1	0	0	80	6	18990	0.9751	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000075	6	cell cycle checkpoint signaling	59	64	1	0	0	1	1	1	1	0	0	80	64	18932	0.76383	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000079	8	regulation of cyclin-dependent protein serine/threonine kinase activity	31	35	1	0	0	0	0	0	1	0	0	80	35	18961	0.8631	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000096	5	sulfur amino acid metabolic process	19	20	2	1	0	2	2	2	2	0	0	80	20	18976	0.91935	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000097	6	sulfur amino acid biosynthetic process	14	14	2	1	0	2	2	2	2	0	0	80	14	18982	0.94284	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000118	4	histone deacetylase complex	61	62	2	2	0	2	2	2	2	0	0	80	62	18934	0.7703	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000122	9	negative regulation of transcription by RNA polymerase II	211	223	10	6	0	9	9	7	10	0	0	80	223	18773	0.38958	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000123	5	histone acetyltransferase complex	69	69	2	2	0	2	2	2	2	0	0	80	69	18927	0.74789	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000132	8	establishment of mitotic spindle orientation	21	22	1	1	0	1	1	1	1	0	0	80	22	18974	0.91164	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000139	6	Golgi membrane	234	261	4	3	1	3	3	3	4	1	1	79	260	18736	0.70072	0.6686	1.0	0.38	541379	cog8	ENSDARG00000002798		0.490604	0.490604	0.490604		0.490604		0.228082	0.228082	0.228082		0.228082		1.05529	1.05529	1.05529		1.05529										0.490604	0.228082	1.05529	1	0	1	541379	ENSDARG00000002798	0.490604	0.490604		0.228082	0.228082		1.05529	1.05529		0.490604	0.228082	1.05529	0															0						Poly 2,1(1)	1.5586624145507812	1.5586624145507812	1.5586624145507812	1.5586624145507812	0.0	1.5586624145507812	0.490604	0.490604	0.228082	0.228082	1.05529	1.05529	UP	1.0	0.0	0.0	
GO:0000145	4	exocyst	15	18	2	2	1	1	1	1	2	1	1	79	17	18979	0.99746	0.072887	0.072887	5.56	567159	tnfaip2a	ENSDARG00000043416		0.592826	0.592826	0.592826		0.592826		0.236522	0.236522	0.236522		0.236522		1.48588	1.48588	1.48588		1.48588		0.0	0.592826			0.236522		1.48588		0.592826	0.236522	1.48588	0	1	0															1	567159	ENSDARG00000043416	0.592826	0.592826		0.236522	0.236522		1.48588	1.48588		0.592826	0.236522	1.48588	0						Poly 2,1(1)	1.5348132848739624	1.5348132848739624	1.5348132848739624	1.5348132848739624	0.0	1.5348132848739624	0.592826	0.592826	0.236522	0.236522	1.48588	1.48588	DOWN	0.0	1.0	0.0	
GO:0000146	3	microfilament motor activity	42	44	4	2	1	3	3	3	4	1	1	79	43	18953	0.98534	0.169	0.169	2.27	564573	myo3b	ENSDARG00000006892		4.32879	4.32879	4.32879		4.32879		2.50486	2.50486	2.50486		2.50486		7.48085	7.48085	7.48085		7.48085										4.32879	2.50486	7.48085	0	1	0															1	564573	ENSDARG00000006892	4.32879	4.32879		2.50486	2.50486		7.48085	7.48085		4.32879	2.50486	7.48085	0						Linear,1(1)	1.842803716659546	1.842803716659546	1.842803716659546	1.842803716659546	0.0	1.842803716659546	4.32879	4.32879	2.50486	2.50486	7.48085	7.48085	DOWN	0.0	1.0	0.0	
GO:0000149	4	SNARE binding	104	112	4	2	2	3	3	3	4	2	2	78	110	18886	0.98833	0.080366	0.080366	1.79	567916;567159	stxbp4;tnfaip2a	ENSDARG00000076997;ENSDARG00000043416		1.567113	1.567113	0.592826	1.3778498890437954	1.3025921539990535	1.3260949290303041	0.971741	0.971741	0.236522	1.0397566811143846	0.772127588473448	1.000701218046357	2.634815	2.634815	1.48588	1.6248394592851307	2.3228768768390653	1.5638070479082986									2.5414;0.592826	1.70696;0.236522	3.78375;1.48588	0	2	0															2	567916;567159	ENSDARG00000076997;ENSDARG00000043416	1.567113	1.567113	1.3778498890437954	0.971741	0.971741	1.0397566811143846	2.634815	2.634815	1.6248394592851307	2.5414;0.592826	1.70696;0.236522	3.78375;1.48588	0						Linear,1(0.5);Poly 2,1(0.5)	2.123116856227898	4.471734166145325	1.5348132848739624	2.9369208812713623	0.9914397893657724	2.2358670830726624	-0.34248952	3.47671552	-0.46928824	2.41277024	0.38290240000000075	4.8867275999999995	DOWN	0.0	1.0	0.0	
GO:0000151	4	ubiquitin ligase complex	210	219	10	7	1	9	9	7	10	1	1	79	218	18778	0.76598	0.60374	0.60374	0.46	322854	anapc5	ENSDARG00000008461		0.3406	0.3406	0.3406		0.34059999999999996		0.191621	0.191621	0.191621		0.19162099999999999		0.605408	0.605408	0.605408		0.605408										0.3406	0.191621	0.605408	0	1	0															1	322854	ENSDARG00000008461	0.3406	0.3406		0.191621	0.191621		0.605408	0.605408		0.3406	0.191621	0.605408	0						Poly 2,1(1)	1.7695090770721436	1.7695090770721436	1.7695090770721436	1.7695090770721436	0.0	1.7695090770721436	0.3406	0.3406	0.191621	0.191621	0.605408	0.605408	DOWN	0.0	1.0	0.0	
