sample,chemical,dose
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitA_1_1.csv,BitA_24,1
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitA_1_2.csv,BitA_24,1
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitA_3_1.csv,BitA_24,3
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitA_3_2.csv,BitA_24,3
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitA_7_1.csv,BitA_24,7
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitA_7_2.csv,BitA_24,7
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitA_14_1.csv,BitA_24,14
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitA_14_2.csv,BitA_24,14
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitA_28_1.csv,BitA_24,28
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitA_28_2.csv,BitA_24,28
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitA_57 _1.csv,BitA_24,57
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitA_57 _2.csv,BitA_24,57
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitB_2_1.csv,BitB_24,2
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitB_2_2.csv,BitB_24,2
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitB_5_1.csv,BitB_24,5
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitB_5_2.csv,BitB_24,5
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitB_10_1.csv,BitB_24,10
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitB_10_2.csv,BitB_24,10
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitB_20_1.csv,BitB_24,20
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitB_20_2.csv,BitB_24,20
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitB_41_1.csv,BitB_24,41
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitB_41_2.csv,BitB_24,41
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitB_82_1.csv,BitB_24,82
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitB_82_2.csv,BitB_24,82
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitC_1_1.csv,BitC_24,1
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitC_1_2.csv,BitC_24,1
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitC_3_1.csv,BitC_24,3
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitC_3_2.csv,BitC_24,3
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitC_6_1.csv,BitC_24,6
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitC_6_2.csv,BitC_24,6
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitC_12_1.csv,BitC_24,12
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitC_12_2.csv,BitC_24,12
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitC_24_1.csv,BitC_24,24
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitC_24_2.csv,BitC_24,24
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitC_45_1.csv,BitC_24,45
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BitC_45_2.csv,BitC_24,45
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\DMSO _1.csv,DMSO_24,0
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\DMSO_2.csv,DMSO_24,0
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\MB_1.csv,MB_24,1
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\MB_2.csv,MB_24,1
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\NIST_1.csv,NIST_24,1
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\NIST_2.csv,NIST_24,1
